rank,headword,part of speech,frequency,dispersion
985,yetkili,adj,8401,0.82
986,güzellik,n,7795,0.89
987,makine,n,7650,0.90
988,sanatçı,n,9952,0.69
989,atla,v,7553,0.92
990,neredeyse,adv,7423,0.93
991,kavuş,v,7294,0.95
992,dis,n,7736,0.89
993,rekabet,n,9439,0.73
994,edebiyat,n,8393,0.82
995,kapsam,n,8390,0.82
996,sinema,n,8767,0.78
997,eğilim,n,7849,0.87
998,yetenek,n,7465,0.92
999,spor,n,8055,0.85
1000,başlık,n,7516,0.91
1001,emin,adj,7487,0.91
1002,kitle,n,7804,0.87
1003,kanal,n,7411,0.92
1004,otel,n,7517,0.90
1005,basit,adj,7292,0.93
1006,hele,conj,7507,0.90
1007,eylül,n,7465,0.91
1008,haklı,adj,7283,0.93
1010,gelişim,n,7676,0.88
1011,daire,n,7194,0.94
1012,teklif,n,7433,0.91
1013,siyah,adj,7424,0.91
1014,er,v/n,7225,0.93
1015,yağmur,n,7742,0.87
1017,yargı,n,8134,0.82
1018,saldırı,n,7269,0.93
1019,asla,adv,7270,0.91
1020,heyecan,n,7340,0.90
1021,sus,v,7790,0.85
1022,yükle,v,7211,0.92
1023,beğen,v,7319,0.90
1024,kiyi,n,7318,0.90
1025,rüya,n,7823,0.84
1026,sırt,n,7411,0.89
1027,yen,v,8033,0.82
1028,oyuncu,n,9295,0.71
1029,başvur,v,7176,0.92
1030,yalan,n,7292,0.90
1031,dokun,v,7307,0.90
1032,tutum,n,7527,0.87
1033,husus,n,7355,0.89
1034,altın,n,7242,0.91
1035,şans,n,7073,0.93
1036,insanlık,n,7276,0.90
1037,kalabalık,adj/n,7291,0.90
1038,öngör,v,7751,0.84
1039,kapalı,adj,6746,0.97
1040,devir,n/v,7006,0.93
1041,eşya,n,7090,0.91
1042,başkanlık,n,7547,0.86
1043,bağımsız,adj,7297,0.88
1044,tatlı,adj,7324,0.88
1045,bütçe,n,8448,0.76
1046,uyum,n,7193,0.89
1047,aşırı,adv,7032,0.91
1048,standart,adj,7825,0.82
1049,gazeteci,n,7496,0.85
1050,bilimsel,adj,7083,0.90
1051,komşu,n,6866,0.93
1052,mutluluk,n,7151,0.89
1053,işbirliği,n,7449,0.85
1054,girişim,n,7088,0.89
1055,işlev,n,7300,0.87
1056,denetim,n,7632,0.83
1057,elektrik,n,7151,0.88
1058,abla,n,7401,0.85
1059,yaprak,n,7862,0.80
1060,eleştiri,n,7017,0.90
1061,dalga,n,6772,0.92
1062,kahve,n,7200,0.87
1063,sivil,n/adj,7458,0.84
1064,gülümse,v,7815,0.80
1065,ömür,n,6811,0.92
1066,kavga,n,6771,0.92
1067,organ,n,6997,0.89
1068,dair,posp,6762,0.92
1069,dahi,n/conj,6701,0.93
1071,benimse,v,6902,0.90
1072,evlilik,n,7043,0.88
1073,ani,n,6891,0.90
1074,boşluk,n,6716,0.92
1075,yıka,v,6865,0.90
1076,geçerli,adj,6737,0.91
1077,kış,n,6709,0.91
1078,davet,n,6692,0.92
1079,buyur,v,7149,0.86
1080,müdahale,n,6884,0.89
1081,mahalle,n,6671,0.92
1082,çift,n,6786,0.90
1083,teslim,n,6574,0.93
1084,örgütle,v,7115,0.86
1085,kaybol,v,6693,0.91
1086,dağıt,v,6358,0.95
1087,usta,n,6915,0.87
1088,medya,n,7286,0.82
1089,liste,n,6506,0.92
1090,ekmek,n,6576,0.91
1091,lise,n,6556,0.91
1092,sert,adj,6407,0.93
1093,memleket,n,6449,0.93
1094,emek,n,6819,0.88
1095,cam,n,6758,0.88
1096,genişle,v,6615,0.90
1097,it,v/n,6300,0.94
1098,köpek,n,6634,0.89
1099,deri,n,6469,0.91
1100,dede,n,6815,0.87
1101,doğrultu,n,6645,0.89
1102,laf,n,6604,0.89
1103,öncelikle,adv,6431,0.92
1104,yayımla,v,6648,0.89
1106,öp,v,6826,0.86
1107,sultan,n,6766,0.87
1108,tesis,n,7342,0.80
1109,demokratik,adj,6315,0.92
1110,adalet,n,6398,0.91
1112,tören,n,6472,0.90
1113,eksik,adj,6090,0.96
1114,bol,adj,6444,0.90
1115,tanrı,n,7328,0.80
1116,dini,adj,7182,0.81
1117,sevinç,n,6753,0.86
1118,zorunlu,adj,6599,0.88
1120,yaygın,adj,6548,0.88
1121,sıkı,adj/adv,6135,0.94
1122,salla,v,6867,0.84
1123,burun,n,6609,0.87
1124,sağlam,adj,6010,0.96
1125,önlem,n,6595,0.87
1126,yolculuk,n,6455,0.89
1127,suçla,v,6479,0.89
1129,geçiş,n,6270,0.91
1130,gaz,n,6773,0.84
1131,uyar,v,6029,0.95
1132,yasak,n,6208,0.92
1133,eğ,v,6417,0.89
1134,ilan,n,6243,0.91
1135,içerik,n,6540,0.87
1136,ekip,n,6995,0.81
1137,deprem,n,7140,0.80
1138,not,n,6371,0.90
1139,arzu,n,6483,0.87
1141,büyüklük,n,6484,0.87
1142,sırala,v,6163,0.92
1143,sürü,n/v,6190,0.91
1144,es,v,6065,0.93
1145,nükleer,adj,7208,0.78
1146,yarım,adj,6301,0.89
1147,koltuk,n,6348,0.88
1148,rejim,n,6428,0.87
1149,tehdit,n,6338,0.88
1150,mavi,adj,6243,0.89
1151,eşit,adj,6165,0.91
1152,komisyon,n,6544,0.85
1153,temsilci,n,6315,0.88
1154,gözde,adj,5858,0.95
1155,petrol,n,7217,0.77
1156,sergile,v,6217,0.89
1157,kuru,v/adj,5986,0.92
1158,ulus,n,6397,0.86
1159,çocukluk,n,6160,0.90
1160,köylü,adj,6077,0.91
1161,bayram,n,6061,0.91
1162,sağlıklı,adj,6033,0.91
1163,demir,n,5984,0.92
1164,gerekçe,n,6178,0.89
1165,hazırlık,n,6138,0.89
1166,dek,posp,6045,0.91
1167,suret,n,6057,0.90
1168,parçala,v,5855,0.93
1169,sınırlı,adj,6137,0.89
1170,numara,n,5927,0.92
1171,faiz,n,8233,0.66
1172,beklenti,n,6258,0.87
1173,doğum,n,5914,0.92
1174,geleneksel,adj,6255,0.87
1175,kesinlikle,adv,5880,0.92
1176,fabrika,n,5989,0.90
1177,bağlantı,n,6148,0.88
1178,otobüs,n,6007,0.90
1179,imkan,n,6223,0.87
1180,kale,n,5955,0.90
1181,sessiz,adj,6185,0.87
1182,karakter,n,6006,0.89
1183,kart,n/adj,6373,0.84
1184,radyo,n,6240,0.85
1185,sıcaklık,n,7202,0.74
1186,kök,n,6324,0.84
1187,ihracat,n,8231,0.65
1188,sığ,v/adj,5776,0.92
1189,yerli,adj,5862,0.91
1190,sarı,adj,5907,0.90
1191,etkin,adj,6351,0.83
1192,isin,v,5832,0.91
1193,rahatsız,adj,5635,0.94
1194,cami,n,6127,0.86
1195,aracılık,n,5879,0.90
1196,zemin,n,6350,0.83
1197,kişisel,adj,5807,0.90
1198,mayıs,n,5749,0.91
1199,sohbet,n,5795,0.91
1200,strateji,n,5561,0.93
1201,ton,n,5704,0.92
1202,ilçe,n,6064,0.86
1203,anımsa,v,5947,0.88
1204,dernek,n,5797,0.90
1205,adım,n,5616,0.93
1206,aylık,n,6342,0.82
1207,yazık,n,5583,0.93
1208,nefes,n,5994,0.87
1209,mali,adj,7084,0.73
1210,kapsa,v,6015,0.86
1212,amca,n,5955,0.87
1213,gelin,n,5711,0.91
1214,personel,n,6091,0.85
1215,servis,n,6389,0.81
1216,galiba,adv,5853,0.88
1217,gösteri,n,5773,0.90
1218,eleştir,v,5699,0.90
1219,tatil,n,5690,0.90
1220,bacak,n,5871,0.88
1221,fakülte,n,5796,0.88
1222,zayıf,adj,5392,0.95
1223,tüketim,n,6503,0.79
1224,huzur,n,5703,0.90
1225,kedi,n,5985,0.86
1226,kahraman,n,5834,0.88
1227,don,v/n,5604,0.91
1228,maç,n,13105,0.39
1229,halka,n,5501,0.93
1230,yayın,n,5766,0.88
1231,bağlam,n,6037,0.84
1232,rakam,n,5961,0.85
1233,kuşak,n,5588,0.91
1234,teori,n,5877,0.87
1235,eleman,n,5516,0.91
1236,as,v,5547,0.91
1237,kadro,n,6167,0.82
1238,seslen,v,5626,0.90
1239,devre,n,5637,0.90
1240,dayalı,posp,5773,0.88
1241,cumhurbaşkanı,n,6266,0.81
1242,kavra,v,5871,0.86
1246,gök,n,5713,0.88
1247,imza,n,5693,0.88
1248,güçlen,v,5678,0.89
1249,dip,n,5731,0.88
1251,tipkı,adj,5512,0.91
1253,kral,n,5662,0.88
1254,filan,n,5920,0.84
1255,döv,v,5525,0.90
1256,tat,n/v,5504,0.90
1257,site,n,5817,0.85
1258,niçin,adv,5390,0.91
1259,saray,n,5717,0.86
1260,zevk,n,5392,0.91
1261,yönlen,v,5385,0.91
1262,deli,adj,5718,0.86
1263,çağdaş,adj,5731,0.85
1264,ödül,n,5793,0.84
1265,çök,v,5358,0.91
1266,mekanizma,n,5663,0.86
1267,ölü,n,5460,0.89
1268,garip,adj,5518,0.88
1269,deyiş,n,5465,0.89
1270,ertesi,adj,5401,0.90
1271,net,adj,5613,0.86
1272,öğle,n,5375,0.90
1273,imzala,v,5475,0.88
1274,teşvik,n,5781,0.83
1275,niyet,n,5132,0.94
1276,reddet,v,5258,0.91
1277,nesne,n,5765,0.83
1278,ört,v,5142,0.93
1279,ölç,v,5655,0.84
1280,sir,n,5283,0.90
1281,reklam,n,5669,0.84
1282,operasyon,n,5693,0.83
1283,mart,n,5241,0.91
1284,potansiyel,n,5595,0.85
1285,birtakım,det,5085,0.93
1286,çabuk,adv,5190,0.91
1287,paket,n,5228,0.90
1288,saha,n,6385,0.74
1289,zihin,n,5354,0.88
1290,adeta,adv,5045,0.93
1291,komutan,n,5773,0.81
1292,darbe,n,5315,0.89
1293,ayı,n,5214,0.90
1294,ekim,n,5388,0.87
1295,meyve,n,5385,0.87
1296,kanat,n,5185,0.90
1297,olasılık,n,5120,0.91
1298,civar,n,5169,0.90
1299,turizm,n,6322,0.74
1300,üstlen,v,5126,0.91
1301,dudak,n,5687,0.82
1302,süt,n,5401,0.86
1303,yarış,v/n,5163,0.90
1304,mantık,n,5298,0.88
1305,mezun,n,5263,0.88
1306,terör,n,5848,0.79
1307,kutla,v,5044,0.92
1308,dinlen,v,4985,0.93
1309,ihtimal,n,4931,0.94
1310,klasik,adj,5152,0.90
1311,kapasite,n,5692,0.81
1312,yasal,adj,5370,0.86
1313,şeker,n,5206,0.88
1314,omuz,n,5376,0.85
1315,çoğal,v,4851,0.94
1316,boya,v/n,4995,0.91
1317,karşılıklı,adj,4822,0.94
1318,bardak,n,5999,0.76
1319,anlamlı,adj,5318,0.85
1320,göç,v/n,4934,0.92
1321,dar,adj,4766,0.95
1322,dağıl,v,4803,0.94
1323,puan,n,5982,0.76
1324,tüketici,n,6192,0.73
1325,yavru,n,5280,0.86
1326,işgal,n,5175,0.87
1327,amaçla,v,5149,0.87
1328,boşal,v,4849,0.93
1329,yumurta,n,5383,0.83
1330,uğur,n,4937,0.91
1331,kağıt,n,4817,0.93
1332,nisan,n,4849,0.92
1333,dua,n,5221,0.86
1334,defter,n,4964,0.90
1335,cinsel,adj,5373,0.83
1336,temiz,adj,4762,0.94
1337,egemen,adj,5053,0.88
1338,renkli,adj,5060,0.87
1339,gecik,v,4776,0.93
1340,park,n,4793,0.93
1341,ufak,adj,4847,0.91
1342,bat,v,4783,0.92
1343,katılım,n,5185,0.85
1344,fırla,v,5218,0.85
1345,kutu,n,4875,0.90
1346,zorluk,n,4602,0.96
1347,yapım,n,5026,0.88
1349,fayda,n,4818,0.91
1350,tarihsel,adj,5116,0.86
1351,metre,n,4928,0.89
1352,dosya,n,5554,0.79
1353,sınırla,v,5048,0.87
1354,yargıla,v,5028,0.87
1355,maddi,adj,4876,0.89
1356,arazi,n,5018,0.87
1357,temas,n,4759,0.91
1358,kilise,n,5011,0.87
1359,gölge,n,4933,0.88
1360,politik,adj,4956,0.87
1361,temizle,v,4713,0.92
1362,öğe,n,5158,0.84
1363,yoğunlaş,v,4901,0.88
1364,tren,n,4878,0.89
1365,yakından,adv,4538,0.95
1366,sap,v/n,4620,0.93
1367,ayrıntı,n,4598,0.94
1368,yeterince,adv,4603,0.94
1369,katı,adj,4844,0.89
1370,çözümle,v,4851,0.89
1371,pratik,adj,4803,0.89
1372,yor,v,4776,0.90
1373,kaygı,n,4690,0.91
1374,adlandır,v,4757,0.90
1375,ez,v,4636,0.92
1376,alışkanlık,n,4733,0.90
1377,vatan,n,4722,0.90
1378,iyileş,v,4797,0.89
1379,irade,n,4745,0.90
1380,hedefle,v,5114,0.83
1381,ayna,n,4879,0.87
1382,emekli,adj,4975,0.85
1384,sorgula,v,4561,0.93
1385,kuşkusuz,adv,4677,0.90
1386,trafik,n,4789,0.88
1387,özgü,adj,4644,0.91
1388,gereksinim,n,4787,0.88
1389,konuk,n,4740,0.89
1390,test,n,5195,0.81
1391,derle,v,4491,0.94
1392,kasım,n,4663,0.90
1393,yüzey,n,5778,0.73
1394,alın,n,4739,0.88
1395,perde,n,4798,0.87
1396,namaz,n,5644,0.74
1397,sabit,adj,5271,0.79
1398,kaya,n,4640,0.90
1399,harf,n,4540,0.92
1400,taban,n,4890,0.85
1401,eri,v,4542,0.91
1402,yöre,n,4617,0.90
1403,memnun,adj,4445,0.93
1404,dolar,n,5475,0.75
1405,yapılan,v,4875,0.84
1406,terim,n,4822,0.85
1407,eskiden,adv,4362,0.94
1408,mutfak,n,4882,0.84
1409,kilo,n,5768,0.71
1410,dağılım,n,5354,0.76
1411,performans,n,4991,0.82
1412,enflasyon,n,6366,0.64
1413,sula,v,5077,0.80
1414,cephe,n,4763,0.86
1415,peygamber,n,5793,0.70
1416,ucuz,adj,4346,0.93
1417,eksiklik,n,4396,0.92
1418,egemenlik,n,4766,0.85
1419,nihayet,conj,4351,0.93
1420,alışveriş,n,4460,0.91
1421,marka,n,5257,0.77
1422,öfke,n,4654,0.87
1423,ağırlık,n,4537,0.89
1424,birik,v,4287,0.94
1425,dev,n,4495,0.89
1426,bireysel,adj,4656,0.86
1427,birikim,n,4554,0.88
1428,doy,v,4397,0.91
1429,kurban,n,4386,0.91
1430,kocaman,adj,4718,0.85
1431,emniyet,n,4592,0.87
1432,çanta,n,4697,0.85
1433,ayakkabi,n,4637,0.86
1434,aynen,adv,4302,0.91
1435,tip,n,4409,0.90
1436,sonsuz,adj,4425,0.90
1437,göğüs,n,4620,0.86
1438,tarif,n,4303,0.92
1439,kalın,adj,4337,0.91
1440,bedel,n,4601,0.85
1441,insa,n,4389,0.90
1442,ideoloji,n,4861,0.81
1443,geçici,adj,4310,0.91
1444,kayna,v,4535,0.86
1446,ticari,adj,4770,0.82
1447,elbise,n,5300,0.74
1448,boşa,v,4328,0.90
1449,boğ,v,4371,0.89
1451,bayan,n,4511,0.87
1452,kapla,v,4383,0.89
1453,içki,n,4424,0.88
1454,bel,n,4317,0.90
1455,evren,n,4440,0.88
1456,denli,posp,4257,0.92
1458,ayrım,n,4288,0.91
1459,teyze,n,4615,0.84
1460,istihdam,n,5971,0.65
1461,mensup,n,4371,0.89
1463,hakim,n/adj,4168,0.93
1464,gizle,v,4281,0.90
1465,piş,v,4960,0.78
1466,anahtar,n,4266,0.90
1467,işletme,n,5695,0.68
1468,kurtuluş,n,4272,0.90
1469,kader,n,4168,0.92
1470,gövde,n,4699,0.82
1471,sal,v/n,4196,0.92
1472,ekran,n,4551,0.85
1473,tuhaf,adj,4531,0.85
1474,sinir,n,4501,0.85
1475,hediye,n,4212,0.91
1476,yalnızlık,n,4519,0.85
1477,israr,n,4172,0.92
1478,padişah,n,4350,0.88
1479,aykırı,adj,4328,0.88
1480,tedbir,n,4297,0.88
1481,çıktı,n,4199,0.91
1482,tekrarla,v,4158,0.92
1483,toplu,adj,4259,0.90
1484,vakıf,n,4307,0.89
1485,temmuz,n,4187,0.91
1486,aktif,adj,4414,0.86
1487,inşaat,n,4423,0.86
1488,dans,n,4339,0.88
1489,gözük,v,4061,0.94
1491,onayla,v,4146,0.92
1492,yenile,v,4091,0.93
1493,sakin,n/adj,4224,0.90
1494,yanıtla,v,4113,0.92
1495,kanıtla,v,4066,0.93
1496,özen,v/n,4054,0.93
1497,endişe,n,4073,0.93
1498,arz,n,4907,0.77
1499,bank,n,5066,0.74
1500,keşfet,v,4088,0.92
1501,soluk,n,4510,0.83
1502,zafer,n,4164,0.90
1503,usul,n,4133,0.91
1504,zannet,v,4130,0.91
1505,çare,n,4006,0.93
1506,bahar,n,4281,0.87
1507,gayret,n,4016,0.93
1508,tarihli,adj,4354,0.86
1509,etken,n,4459,0.84
1510,yakış,v,4205,0.89
1511,müdürlük,n,4248,0.88
1512,seyirci,n,4450,0.84
1513,alternatif,adj,4170,0.89
1514,şura,n,4578,0.81
1516,fonksiyon,n,4532,0.82
1517,boğaz,n,4107,0.90
1518,arayış,n,4080,0.91
1519,derinlik,n,4223,0.88
1520,düğün,n,4144,0.89
1521,köprü,n,4058,0.91
1522,gerçi,conj,4013,0.92
1523,hepimiz,n,4047,0.91
1524,tel,n,4022,0.92
1525,fon,n,5149,0.71
1526,düzenli,adj,3994,0.92
1527,hızlan,v,3987,0.92
1528,gıda,n,4695,0.78
1529,dışişleri,n,5252,0.70
1530,harita,n,4035,0.91
1531,reform,n,4473,0.82
1532,haziran,n,4041,0.91
1533,sön,v,4147,0.88
1534,çap,n,4258,0.86
1535,canlan,v,4068,0.90
1536,tüket,v,3959,0.92
1537,intihar,n,4480,0.82
1538,saf,n/adj,3954,0.92
1539,kulüp,n,5922,0.62
1540,küresel,adj,4273,0.85
1541,döviz,n,5649,0.65
1542,santral,n,4414,0.82
1543,evrensel,adj,4146,0.88
1544,somut,adj,4110,0.89
1545,pazarla,v,5113,0.71
1546,dilim,n,4059,0.89
1547,dostluk,n,4001,0.91
1548,kuram,n,4362,0.83
1549,kurt,n,3962,0.92
1550,form,n,4476,0.81
1551,deney,n,4667,0.78
1552,otomobil,n,4277,0.85
1553,çak,v,3935,0.92
1554,zamanla,adv,3851,0.94
1555,kasaba,n,3976,0.91
1556,bulut,n,4854,0.74
1557,sürükle,v,3921,0.92
1558,ilet,v,3897,0.92
1559,muhalefet,n,4309,0.83
1560,kongre,n,4319,0.83
1561,öbür,det,3896,0.92
1562,psikolojik,adj,4124,0.87
1563,makam,n,3981,0.89
1564,cinayet,n,4084,0.88
1565,cesaret,n,3923,0.91
1566,üretici,n,4543,0.79
1568,bayrak,n,4089,0.87
1570,yeryüzü,n,3937,0.91
1571,şık,n/adj,4117,0.87
1572,alacak,n,3850,0.93
1574,güçlük,n,3838,0.93
1575,bulundur,v,3983,0.89
1576,kapak,n,3978,0.89
1577,yapış,v,3969,0.89
1578,heyet,n,4119,0.86
1579,süz,v,4170,0.85
1580,profesör,n,4047,0.87
1581,bağımsızlık,n,4195,0.84
1583,adres,n,3951,0.89
1584,ağustos,n,3874,0.91
1585,gerçeklik,n,4282,0.82
1586,alet,n,3775,0.94
1587,mesafe,n,3869,0.91
1588,özet,n,3911,0.90
1589,tasarım,n,4270,0.83
1591,vali,n,4002,0.88
1592,akla,v,6082,0.58
1593,diz,n/v,3991,0.88
1594,tehlikeli,adj,3734,0.94
1595,aksine,adv,3761,0.93
1596,itiraz,n,3864,0.91
1597,göl,n,4654,0.74
1598,yurtdışı,n,4047,0.86
1599,rahatla,v,3865,0.90
1600,gökyüzü,n,4106,0.85
1601,ümit,n,4064,0.86
1602,nefret,n,3919,0.89
1603,yolcu,n,3927,0.89
1604,merdiven,n,4141,0.84
1605,evvel,posp,3722,0.93
1606,toz,n,3914,0.89
1607,kemik,n,3993,0.87
1609,organizasyon,n,3998,0.87
1610,masal,n,4139,0.84
1611,üstün,adj,3736,0.93
1612,denetle,v,3918,0.88
1613,yiyecek,n,3860,0.89
1614,tahta,n,3845,0.90
1615,disiplin,n,3915,0.88
1616,işit,v,3809,0.90
1617,üyelik,n,4307,0.80
1618,ip,n,3817,0.90
1620,gündüz,n,3706,0.92
1621,koyun,n,3871,0.88
1622,ağrı,n/v,4897,0.69
1623,şubat,n,3818,0.89
1624,boyun,n,4018,0.85
1625,tuz,n,4664,0.73
1626,halen,adv,3720,0.91
1627,özle,v,3929,0.86
1628,öylesine,adv,3864,0.88
1629,ihale,n,4445,0.76
1630,dinamik,adj/n,3925,0.87
1631,mezar,n,3726,0.91
1632,göm,v,3774,0.90
1633,oğlan,n,3977,0.85
1634,dönüşüm,n,3822,0.88
1635,özlem,n,3778,0.89
1636,yapıt,n,5387,0.63
1637,ibaret,posp,3661,0.92
1638,iklim,n,3820,0.88
1639,imparatorluk,n,3831,0.88
1640,seçenek,n,4063,0.83
1641,ortalık,n,3893,0.87
1642,belirgin,adj,3800,0.88
1643,um,v,3603,0.93
1644,sendika,n,4320,0.78
1645,keşke,conj,3781,0.89
1646,akıllı,adj,3669,0.91
1647,zorunluluk,n,3750,0.89
1649,kuşku,n,3681,0.91
1650,coğrafya,n,3687,0.91
1651,soy,v/n,3799,0.88
1652,olağanüstü,adj,3635,0.92
1653,yarala,v,3914,0.85
1654,fiziksel,adj,3861,0.86
1656,beceri,n,4095,0.81
1657,hazine,n,4100,0.81
1658,deneme,n,3863,0.86
1659,otorite,n,3835,0.86
1660,deyim,n,3607,0.92
1661,bilgin,n,3802,0.87
1662,parlamento,n,3987,0.83
1663,barın,v,4335,0.77
1664,ilim,n,4135,0.80
1665,kolaylık,n,3672,0.90
1666,konferans,n,3645,0.90
1667,suçlu,adj,3573,0.92
1668,sonuçlan,v,3603,0.91
1669,tarla,n,3624,0.91
1670,gezi,n,3583,0.92
1671,keyif,n,3686,0.89
1672,yürürlük,n,3932,0.83
1673,sakın,v/adv,3683,0.89
1674,tecrübe,n,3539,0.92
1675,rakip,n,4703,0.69
1676,ahlak,n,3791,0.86
1677,konser,n,4332,0.75
1678,sıradan,adj,3542,0.92
1679,bütünleş,v,3760,0.86
1680,eşitlik,n,3722,0.87
1681,maaş,n,3661,0.89
1682,saldır,v,3558,0.91
1683,kapitalizm,n,4434,0.73
1684,çoktan,adv,3681,0.88
1685,misafir,n,3607,0.90
1686,suretiyle,adv,3722,0.87
1687,yuva,n,3650,0.88
1688,matematik,n,4071,0.79
1690,avukat,n,3592,0.90
1691,azınlık,n,4865,0.66
1692,görünüm,n,3536,0.91
1693,mevsim,n,3546,0.90
1694,işsizlik,n,5164,0.62
1695,teşkilat,n,3722,0.86
1696,hoşlan,v,3596,0.89
1697,kampanya,n,3703,0.86
1698,karın,n,3667,0.87
1699,yangın,n,3580,0.89
1700,yoksul,adj,3478,0.92
1701,bizzat,adv,3516,0.91
1702,akraba,n,3420,0.93
1704,bütünlük,n,3592,0.88
1705,tasarruf,n,4048,0.78
1706,çağrı,n,3636,0.87
1707,sessizlik,n,3864,0.82
1708,hapis,n,3574,0.89
1709,çığlık,n,3845,0.82
1710,yararlı,adj,3484,0.91
1711,mühendis,n,3435,0.92
1712,tanık,n,3456,0.91
1713,tez,n/adj,3474,0.91
1714,alev,n,3493,0.90
1715,gümrük,n,4291,0.73
1716,avuç,n,3656,0.86
1717,sabır,n,3509,0.90
1718,onur,n,3411,0.92
1719,tasarı,n,3796,0.83
1720,motor,n,3541,0.89
1721,saniye,n,3507,0.89
1722,korkunç,adj,3542,0.88
1723,gürültü,n,3548,0.88
1724,daima,conj,3396,0.92
1725,bünye,n,3470,0.90
1726,damar,n,3761,0.83
1727,transfer,n,5034,0.62
1728,paralel,adj,3612,0.87
1729,ilave,n/adj,4032,0.78
1730,yüce,adj,3569,0.88
1731,yaygınlaş,v,3584,0.87
1732,giysi,n,3551,0.88
1733,cadde,n,3483,0.90
1734,zincir,n,3375,0.92
1735,karşit,adj,3519,0.88
1736,bomba,n,3595,0.87
1737,isyan,n,3478,0.89
1738,elektronik,adj,3761,0.83
1739,uygarlık,n,3458,0.90
1740,diren,v,3392,0.91
1741,akış,n,3629,0.85
1742,kolaylaş,v,3445,0.90
1743,gayet,adv,3423,0.91
1744,alım,n,4123,0.75
1745,statü,n,3731,0.83
1746,sofra,n,3498,0.88
1747,gözyaşı,n,3573,0.86
1748,şişe,n,3523,0.88
1749,etik,n,4021,0.77
1750,öyleyse,conj,3461,0.89
1751,cennet,n,3562,0.86
1752,teknolojik,adj,3744,0.82
1753,türkü,n,3538,0.87
1754,rahatlık,n,3218,0.95
1755,parlak,adj,3322,0.92
1756,moda,n,3482,0.88
1757,kurucu,n,3380,0.90
1758,yürüyüş,n,3367,0.91
1759,nehir,n,3328,0.92
1760,yanil,v,3295,0.92
1761,zirve,n,3434,0.88
1763,refah,n,3575,0.85
1764,sez,v,3555,0.85
1765,satır,n,3508,0.85
1766,em,v,3451,0.88
1767,sandık,n,3361,0.90
1768,delik,n,3430,0.88
1769,endüstri,n,3597,0.84
1770,şarap,n,3415,0.88
1771,dayı,n,3570,0.84
1772,eşlik,n,3336,0.90
1773,yaka,n,3331,0.90
1774,yorgun,adj,3503,0.86
1775,dola,v,3457,0.87
1777,temin,n,3384,0.88
1778,mutlak,adj,3290,0.91
1779,işgücü,n,4673,0.64
1780,kör,adj,3297,0.91
1781,kusur,n,3225,0.93
1782,eriş,v,3264,0.91
1783,yetersiz,adj,3330,0.90
1784,pahalı,adj,3208,0.93
1785,bellek,n,3688,0.81
1786,dikkatli,adj,3167,0.94
1787,şube,n,3532,0.84
1788,karmaşık,adj,3294,0.90
1789,buz,n,3368,0.88
1790,evlat,n,3335,0.89
1791,şoför,n,3431,0.87
1792,başvuru,n,3497,0.85
1793,subay,n,3548,0.84
1794,avantaj,n,3550,0.84
1795,ayarla,v,3299,0.90
1796,verimlilik,n,4273,0.69
1797,ölçek,n,3932,0.75
1798,demokrat,adj,3617,0.82
1799,devrimci,n,4260,0.69
1800,konut,n,3577,0.82
1801,eğlence,n,3167,0.93
1802,tayin,n,3338,0.88
1803,anlatım,n,3648,0.81
1804,kamp,n,3746,0.79
1805,un,n,3533,0.83
1806,ortaklık,n,3559,0.83
1807,çekici,adj/n,3150,0.93
1808,müthiş,adj,3233,0.91
1809,hürriyet,n,3356,0.87
1810,istasyon,n,3376,0.87
1811,batılı,adj,3325,0.88
1812,kuyruk,n,3371,0.87
1813,sergi,n,4563,0.64
1814,bay,n,3603,0.81
1815,kötülük,n,3321,0.88
1816,işkence,n,3451,0.84
1817,tur,n,3745,0.78
1818,kucak,n,3338,0.87
1819,yönetmen,n,3831,0.76
1820,günah,n,3359,0.86
1821,dürüst,adj,3148,0.92
1822,kıyafet,n,3741,0.78
1823,tasarla,v,3276,0.89
1824,dördüncü,adj,3063,0.95
1825,hacı,n,3358,0.86
1826,anket,n,3678,0.79
1827,düşünür,n,3192,0.91
1828,dönük,n,3215,0.90
1829,silahlı,adj,3468,0.83
1830,apartman,n,3344,0.86
1831,ameliyat,n,3280,0.88
1832,yenilik,n,3373,0.86
1833,nesil,n,3169,0.91
1834,sel,n,3220,0.90
1835,mekan,n,3453,0.83
1836,misir,n,3161,0.91
1837,üstünlük,n,3247,0.89
1838,alay,n,3219,0.89
1839,güvence,n,3336,0.86
1840,tavsiye,n,3309,0.87
1841,melek,n,3488,0.82
1842,örnekle,v,3213,0.89
1843,cezaevi,n,3440,0.83
1844,ufuk,n,3200,0.90
1845,aydınlat,v,3065,0.93
1846,kaz,n/v,3141,0.91
1847,düz,adj,3174,0.90
1848,arin,v,3093,0.92
1849,ikna,n,3059,0.93
1850,uzay,n,3407,0.84
1851,hariç,n,3070,0.93
1852,gurur,n,3092,0.92
1853,kura,n,3140,0.91
1854,savci,n,3451,0.83
1855,sars,v,3101,0.92
1856,tohum,n,3353,0.85
1857,duygusal,adj,3202,0.89
1858,oyuncak,n,3315,0.86
1859,kurşun,n,3093,0.92
1860,çekim,n,3218,0.88
1861,toparla,v,3140,0.90
1862,zeki,adj,3120,0.91
1863,altyapı,n,3753,0.75
1864,idari,adj,3598,0.79
